date,close
2018-12-31,193.08
2019-01-02,192.05
2019-01-03,193.04
2019-01-04,192.88
2019-01-07,195.33
2019-01-08,197.93
2019-01-09,198.95
2019-01-10,198.55
2019-01-11,199.29
2019-01-14,196.84
2019-01-15,197.65
2019-01-16,199.98
2019-01-17,199.74
2019-01-18,200.7
2019-01-21,204.26
2019-01-22,202.46
2019-01-23,199.01
2019-01-24,199.6
2019-01-25,200.11
2019-01-28,199.62
2019-01-29,197.82
2019-01-30,198.43
2019-01-31,201.5
2019-02-01,203.92
2019-02-04,204.1
2019-02-05,206.29
2019-02-06,208.2
2019-02-07,207.44
2019-02-08,204.57
2019-02-11,206.64
2019-02-12,209.29
2019-02-13,208.95
2019-02-14,211.91
2019-02-15,211.18
2019-02-18,211.61
2019-02-19,211.89
2019-02-20,210.54
2019-02-21,210.42
2019-02-22,211.32
2019-02-25,211.49
2019-02-26,208.79
2019-02-27,206.97
2019-02-28,207.13
2019-03-01,209.14
2019-03-04,209.78
2019-03-05,209.26
2019-03-06,209.6
2019-03-07,208.25
2019-03-08,206.67
2019-03-11,208.07
2019-03-12,210.52
2019-03-13,209.58
2019-03-14,209.75
2019-03-15,210.13
2019-03-18,210.27
2019-03-19,210.8
2019-03-20,211.7
2019-03-21,211.87
2019-03-22,213.68
2019-03-25,209.7
2019-03-26,209.77
2019-03-27,210.5
2019-03-28,211.22
2019-03-29,213.13
2019-04-01,214.99
2019-04-02,216.92
2019-04-03,216.12
2019-04-04,215.95
2019-04-05,217.81
2019-04-08,219.02
2019-04-09,218.69
2019-04-10,217.61
2019-04-11,218.09
2019-04-12,219.35
2019-04-15,219.28
2019-04-16,219.61
2019-04-17,220.39
2019-04-18,220.45
2019-04-23,221.17
2019-04-24,224.26
2019-04-25,224.85
2019-04-26,224.11
2019-04-29,225.0
2019-04-30,223.77
2019-05-01,223.0
2019-05-02,221.56
2019-05-03,221.99
2019-05-07,220.23
2019-05-08,218.29
2019-05-09,218.01
2019-05-10,218.1
2019-05-13,216.38
2019-05-14,216.3
2019-05-15,217.44
2019-05-16,221.03
2019-05-17,222.33
2019-05-20,220.93
2019-05-21,223.01
2019-05-22,224.01
2019-05-23,221.62
2019-05-24,221.72
2019-05-28,220.99
2019-05-29,218.55
2019-05-30,218.38
2019-05-31,217.27
2019-06-03,214.89
2019-06-04,215.27
2019-06-05,220.18
2019-06-06,220.86
2019-06-07,222.62
2019-06-10,225.49
2019-06-11,226.28
2019-06-12,224.64
2019-06-13,226.43
2019-06-14,226.21
2019-06-17,227.36
2019-06-18,229.86
2019-06-19,230.0
2019-06-20,230.4
2019-06-21,231.44
2019-06-24,229.77
2019-06-25,229.14
2019-06-26,229.1
2019-06-27,227.4
2019-06-28,228.72
2019-07-01,233.46
2019-07-02,232.95
2019-07-03,234.7
2019-07-04,236.46
2019-07-05,236.93
2019-07-08,237.03
2019-07-09,236.15
2019-07-10,237.22
2019-07-11,236.6
2019-07-12,237.67
2019-07-15,238.51
2019-07-16,241.01
2019-07-17,240.4
2019-07-18,237.54
2019-07-19,237.12
2019-07-22,237.12
2019-07-23,237.93
2019-07-24,238.42
2019-07-25,240.0
2019-07-26,240.08
2019-07-29,243.91
2019-07-30,246.52
2019-07-31,246.0
2019-08-01,244.56
2019-08-02,242.36
2019-08-05,236.23
2019-08-06,233.98
2019-08-07,235.9
2019-08-08,235.81
2019-08-09,240.21
2019-08-12,238.56
2019-08-13,237.16
2019-08-14,238.34
2019-08-15,232.57
2019-08-16,235.14
2019-08-19,239.25
2019-08-20,240.76
